episode,task,frames,duration_s,final_route_progress,mean_track_error,max_track_error
episode_00016,go_right,360,36.0,1.0,0.04745439624853639,0.10060887038707733
episode_00017,go_right,360,36.0,1.0,0.038243239950518024,0.09802937507629395
episode_00018,go_left,360,36.0,1.0,0.04691207147884092,0.1033395454287529
episode_00019,go_left,360,36.0,1.0,0.038226257372672184,0.15545059740543365
episode_00020,go_left,361,36.1,1.0,0.03853895565639366,0.10598821938037872
episode_00021,go_left,361,36.1,1.0,0.03135946537808588,0.11079931259155273
episode_00022,go_right,362,36.2,1.0,0.0434942424705108,0.12308676540851593
episode_00023,go_left,365,36.5,1.0,0.03200542129389224,0.10503304749727249
episode_00024,go_left,365,36.5,1.0,0.04257411639882277,0.12000083923339844
episode_00025,go_left,366,36.6,1.0,0.032681946572084286,0.10188674926757812
episode_00026,go_right,366,36.6,1.0,0.031581157279021776,0.10390987992286682
episode_00027,go_right,367,36.7,1.0,0.050264169685180965,0.09875869750976562
episode_00028,go_right,368,36.800000000000004,1.0,0.041707063435118784,0.12014579772949219
episode_00029,go_left,368,36.800000000000004,1.0,0.03338787899729536,0.12005138397216797
episode_00030,go_right,374,37.4,1.0,0.02980783244882157,0.11147880554199219
episode_00031,go_right,374,37.4,1.0,0.03223812868073147,0.12301206588745117
episode_00032,go_left,376,37.6,1.0,0.059488049860018245,0.12477164715528488
episode_00033,go_left,377,37.7,1.0,0.04196352591745516,0.10152596235275269
episode_00034,go_right,378,37.800000000000004,1.0,0.042933092325699154,0.08917365968227386
episode_00035,go_left,383,38.300000000000004,1.0,0.03136745877454529,0.10283361375331879
episode_00036,go_right,384,38.400000000000006,1.0,0.027019029350412893,0.09962280839681625
episode_00037,go_left,385,38.5,1.0,0.033076265234728466,0.09944606572389603
episode_00038,go_right,385,38.5,1.0,0.04691265757020273,0.112795390188694
episode_00039,go_left,385,38.5,1.0,0.04706116094308385,0.12181758880615234
episode_00040,go_left,387,38.7,1.0,0.051010177818635954,0.12106925249099731
episode_00041,go_right,396,39.6,1.0,0.0609700451699095,0.13894778490066528
episode_00042,go_left,397,39.7,1.0,0.025793079565847626,0.09261061996221542
episode_00043,go_left,398,39.800000000000004,1.0,0.04140660903023453,0.09971662610769272
episode_00044,go_left,399,39.900000000000006,1.0,0.030891184353628403,0.1131250411272049
episode_00045,go_right,399,39.900000000000006,1.0,0.025946898809930292,0.09949859231710434
